Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"EURCAD, GBPJPY",0.004051,0.00406,0.637046805,0.502570879,0.496429122,0.00366542
"EURCAD, GBPNZD",0.004051,0.004603,0.413243944,0.607066695,0.391933313,0.003601288
"EURCAD, GBPUSD",0.004051,0.004111,0.19936232,0.508649537,0.490350463,0.00315683
"EURCAD, NZDCAD",0.004051,0.004553,-0.380526474,0.541669051,0.45733095,0.00238188
"EURCAD, NZDCHF",0.004051,0.005457,0.602808357,0.841325791,0.15767421,0.003986444
"EURCAD, NZDJPY",0.004051,0.005916,-0.621808122,0.613823464,0.385176537,0.002080639
"EURCAD, NZDUSD",0.004051,0.006347,0.294085015,0.786351604,0.212648396,0.003807611
"EURCAD, USDCAD",0.004051,0.004198,-0.137520868,0.515134201,0.483865799,0.002704618
"EURCAD, USDCHF",0.004051,0.004141,-0.341305722,0.507682378,0.491317622,0.002347941
"EURCAD, USDJPY",0.004051,0.003077,0.232625717,0.32678885,0.67221115,0.002702721
"EURCHF, AUDCAD",0.002433,0.004195,0.164828224,0.788952569,0.210047431,0.002240215
"EURCHF, AUDCHF",0.002433,0.005417,0.508243622,0.898999834,0.100000186,0.002506383
"EURCHF, AUDJPY",0.002433,0.005327,-0.183891166,0.786672276,0.212327725,0.002036277
"EURCHF, AUDNZD",0.002433,0.0025,0.188702459,0.516219447,0.482780553,0.001899019
"EURCHF, AUDUSD",0.002433,0.006053,0.291971297,0.898998742,0.100001323,0.002433853
"EURCHF, CADCHF",0.002433,0.004899,0.593669467,0.898999301,0.100000711,0.002509268
"EURCHF, CADJPY",0.002433,0.004427,0.075946915,0.78562007,0.213379938,0.00219547
"EURCHF, CHFJPY",0.002433,0.003393,0.511260774,0.810223465,0.188776536,0.002363738
"EURCHF, EURGBP",0.002433,0.003356,0.340510038,0.729161638,0.269838362,0.002249758
"EURCHF, EURJPY",0.002433,0.003214,0.148985835,0.657742852,0.34125715,0.002070481
"EURCHF, EURNZD",0.002433,0.004539,-0.464347937,0.698917705,0.300082295,0.001611156
"EURCHF, GBPAUD",0.002433,0.004151,0.5891868,0.898999659,0.100000362,0.002454859
"EURCHF, GBPCAD",0.002433,0.004095,0.240397237,0.802293969,0.196706031,0.002283649
"EURCHF, GBPCHF",0.002433,0.004237,0.11270282,0.778425629,0.220574371,0.002204379
"EURCHF, GBPJPY",0.002433,0.00406,0.3595536,0.844397625,0.154602375,0.002354132
"EURCHF, GBPNZD",0.002433,0.004603,0.648305505,0.898999301,0.100000711,0.002510268
"EURCHF, GBPUSD",0.002433,0.004111,0.142139384,0.774068699,0.224931302,0.002212911
